id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,timestamp,coingecko_url
namecoin,nmc,Namecoin,https://coin-images.coingecko.com/coins/images/8/large/namecoin.png?1696501412,1.27,0.0,,26655668.0,3479.51,1.34,1.044,0.222649,21.27212,,,0.0,21000000.0,,13.11,-90.31492,2013-11-28T16:00:00.000Z,0.0009151,138607.69299,2023-05-25T23:50:43.000Z,,2026-09-25T23:16:20.000Z,2026-09-26T01:18:35.560952,https://www.coingecko.com/en/coins/namecoin
primecoin,xpm,Primecoin,https://coin-images.coingecko.com/coins/images/13/large/primecoin.png?1696501417,0.03409267,0.0,,1711586.0,0.00272741,0.0340955,0.03409043,,,,,0.0,50203940.0,,7.27,-99.53087,2013-11-29T16:00:00.000Z,0.0072887,367.74709,2024-01-13T08:52:37.000Z,,2026-09-25T16:51:00.000Z,2026-09-26T01:18:35.560952,https://www.coingecko.com/en/coins/primecoin
whitecoin,xwc,Whitecoin,https://coin-images.coingecko.com/coins/images/60/large/whitecoin.png?1696501453,0.01378058,0.0,,12391468.0,667800.0,0.01412272,0.01231419,0.0011551,9.14893,,,0.0,899197660.0,,2.62,-99.47409,2021-03-05T01:10:34.000Z,8.465e-05,16179.93012,2015-11-18T16:00:00.000Z,,2026-09-25T23:16:20.000Z,2026-09-26T01:18:35.560952,https://www.coingecko.com/en/coins/whitecoin
