id,symbol,name,image,usd,market_cap,market_cap_rank,fully_diluted_valuation,usd_24h_vol,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,usd_24h_change,type,timestamp,coingecko_url
bitway,btw,Bitway,https://coin-images.coingecko.com/coins/images/71205/large/BTW_Token_200x200.png?1786291907,1.32,3568899101,34,13178403246,21432412.0,1.32,0.890482,0.373587,39.56433,1011727797.0,39.56433,2708142280.000001,10000000000.0,10000000000.0,1.32,-0.42295,2026-09-25T23:04:20.000Z,0.00911805,14353.09495,2026-03-03T06:55:24.000Z,,2026-09-25T23:16:20.000Z,39.56433,gainer,2026-09-26T01:18:33.160072,https://www.coingecko.com/en/coins/bitway
aerodrome-finance,aero,Aerodrome Finance,https://coin-images.coingecko.com/coins/images/31745/large/token.png?1696530564,0.841169,838256333,87,1672272350,139472287.0,0.864722,0.69085,0.155495,22.67765,154895434.0,22.66671,996537936.5572937,1988034890.229641,,2.32,-63.69479,2024-12-07T06:00:38.000Z,1.861e-05,4519890.43205,2023-10-16T17:23:50.000Z,,2026-09-25T23:16:20.000Z,22.67765,gainer,2026-09-26T01:18:33.160072,https://www.coingecko.com/en/coins/aerodrome-finance
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,1.21,4952085340,26,12088466825,1805570291.0,1.2,1.006,0.200564,19.89166,821618526.0,19.89166,4096537146.5409594,10000000000.0,10000000000.0,5.35,-77.39023,2025-01-04T14:56:18.000Z,0.364846,231.33038,2023-10-19T02:40:30.000Z,,2026-09-25T23:16:20.000Z,19.89166,gainer,2026-09-26T01:18:33.160072,https://www.coingecko.com/en/coins/sui
